,Borehole,X,Y,Z_Top,Z_Bot,Formation,hydrogeoCode
277,DH-DAM1-03-19,488675.5,5148497.6,296.74,286.66,Bedrock,7
278,BH-DAM2-01-19,488673.2,5148381.6,298.44,298.16,ConcreteCrush,2
279,BH-DAM2-01-19,488673.2,5148381.6,298.16,287.95,Bedrock,7
280,BH-DAM2-02-19,488566,5148200.9,297.9,297.82,ConcreteCrush,2
281,BH-DAM2-02-19,488566,5148200.9,297.82,296.59,Sand/Silt/Till1,3
282,BH-DAM2-02-19,488566,5148200.9,296.59,286.57,Bedrock,7
283,BH-DAM3-01-19,488321.4,5148147,294.64,293.57,Sand/Silt/Till1,3
284,BH-DAM3-01-19,488321.4,5148147,293.57,283.34,Bedrock,7
285,BH-DAM3-02-19,488260.2,5148145.3,293.65,292.58,ConcreteCrush,2
286,BH-DAM3-02-19,488260.2,5148145.3,292.58,291.54,Sand/Silt/Till1,3
287,BH-DAM3-02-19,488260.2,5148145.3,291.54,275.87,Bedrock,7
288,BH-DAM3-03-19,488171.7,5148160.6,292.47,292.37,Organics,1
289,BH-DAM3-03-19,488171.7,5148160.6,292.37,291.5,Sand/Silt/Till1,3
290,BH-DAM3-03-19,488171.7,5148160.6,291.5,281.34,Bedrock,7
291,BH-DAM3-04-19,488103.4,5148115.6,292.15,292.05,Organics,1
292,BH-DAM3-04-19,488103.4,5148115.6,292.05,285.96,Sand/Silt/Till1,3
293,BH-DAM3-04-19,488103.4,5148115.6,285.96,275.87,Bedrock,7
294,BH-DAM3-05-19,488020.3,5148058,297.19,293.87,Sand/Silt/Till1,3
295,BH-DAM3-05-19,488020.3,5148058,293.87,283.69,Bedrock,7
296,BH-DAM8-01-19,487612.5,5147145.4,299.6,299.55,Organics,1
297,BH-DAM8-01-19,487612.5,5147145.4,299.55,297.26,Sand/Silt/Till1,3
298,BH-DAM8-01-19,487612.5,5147145.4,297.26,286.95,Bedrock,7
299,BH-DAM8-02-19,487654.3,5147230.2,298.65,288.59,Bedrock,7
300,CT32-1,488264,5144710,293.72,292.2,Sand/Silt/Till1,3
301,CT32-1,488264,5144710,292.2,290.52,Clay,4
302,CT32-1,488264,5144710,290.52,267.81,Bedrock,7
303,CT32-2,488238.657,5148184.27,290,289.87,Cobbles,6
304,CT32-2,488238.657,5148184.27,289.87,287.51,Clay,4
305,CT33-1A,488654,5148108,280.25,276.59,ConcreteCrush,2
306,CT33-1A,488654,5148108,276.59,254.34,Bedrock,7
307,CT33-2-1,488647,5148106,297.36,294.37,Sand/Silt/Till1,3
308,CT33-2-2,488556,5148056,295.99,291.72,Clay,4
309,CT34-1(A&B),487754,5147658,258.91,257.08,Sand/Silt/Till1,3
310,CT34-1(A&B),487754,5147658,257.08,220.51,Bedrock,7
311,CT34-2,487752,5147672,294.36,292.54,Clay,4
312,CT34-2,487752,5147672,292.54,292.5,Sand/Silt/Till2,5
313,CT34-2,487752,5147672,292.5,290.85,Bedrock,7
314,CT43-1,487740,5147930,294.66,294.6,Organics,1
315,CT43-1,487740,5147930,294.6,293.78,Sand/Silt/Till1,3
316,CT43-1,487740,5147930,293.78,273.17,Bedrock,7
317,CT56-4,487758,5148140,288.9,287.79,Sand/Silt/Till1,3
318,CT58-4,487938,5148864,289.35,286.53,Sand/Silt/Till1,3
